SITE_ID,VISIT_NO,MICL_RESULT_ppb
NLA12_NE-108,1,18.3139
NLA12_NC-116,2,0.10948
NLA12_NC-101,2,0.12318
NLA12_NM-161,1,0.09626
NLA12_IN-128,2,0.19128
NLA12_NM-104,2,0.08006
NLA12_NM-162,1,0.14484
NLA12_FL-132,1,0.0948
NLA12_FL-123,2,0
NLA12_FL-101,2,0.16342
NLA12_NE-113,1,15.46685
NLA12_NE-102,1,1.08563
NLA12_MT-102,1,0.0888
NLA12_IN-174,1,0.20335
NLA12_SD-109,1,0.17147
NLA12_NM-117,2,0.10036
NLA12_OR-121,1,0.1007
NLA12_OH-107,1,1.61938
NLA12_CA-206,1,0
NLA12_IN-171,1,0.07012
NLA12_MN-127,1,0.15
NLA12_IN-186,1,0.0861
NLA12_DE-104,1,0.19985
NLA12_IN-180,1,0
NLA12_MO-123,1,0.19609
NLA12_WY-R08,1,0
NLA12_AR-106,1,0.11198
NLA12_GA-103,1,0.08472
NLA12_NC-114,1,0.15971
NLA12_NE-135,1,0.11256
NLA12_SC-103,2,0
NLA12_SD-170,1,0.6185
NLA12_ND-113,1,0.10231
NLA12_ME-104,1,0.19376
NLA12_CO-101,2,0.19436
NLA12_MT-136,1,0
NLA12_MN-136,1,0
NLA12_MN-158,1,0.39
NLA12_ME-105,1,0.09851
NLA12_AR-102,1,0.49357
NLA12_AR-111,1,0
NLA12_CA-141,1,0.08594
NLA12_CA-208,1,0
NLA12_ND-199,1,0.27901
NLA12_OH-104,1,0.79256
NLA12_AZ-R02,1,0.18261
NLA12_ME-122,1,0.07941
NLA12_MT-120,1,0
