SITE_ID,VISIT_NO,MAGNESIUM_mgL,DOC_mgL,SILICA_mgL,CHLORIDE_mgL,COND_USCM,NITRATE_N_mgL,PH,CHLA_ugL,NTL_mgL,TURB_NTL,AMMONIA_N_mgL,POTASSIUM_mgL,SULFATE_mgL,SODIUM_mgL,COLOR_ALPHA,ANC_ueqL,CALCIUM_mgL,PTL_ugL,NITRITE_N_mgL,ALUMINUM_mgL,NITRATE_NITRITE_N_mgL,TKN_mgL,BATCH_ID
NLA17_MT-10009,2,19.235,25.72,22.595,17.792,603.2,0,9.72,3.16,2.31,5.74,0.046,22.396,88.381,61.849,22,4040.65,37.011,641.475,0,NA,NA,NA,NA
NLA17_SC-10003,2,1.546,10.26,3.727,0.983,32.7,1e-4,6.8,21.76,0.73,5.76,0.014,0.604,0.266,1.14,48,240.44,2.454,69.34125,0,NA,NA,NA,NA
NLA17_SC-10023,1,1.403,2.59,9.457,2.734,50.6,8e-4,7.59,11.15,0.31,2.77,0.006,1.858,1.953,3.723,1,335.7,2.993,19.56875,0,NA,NA,NA,NA
NLA17_TX-10032,1,1.187,5.02,9.237,4.97,117.5,0.1829,7.63,28.48,0.953,631,0.01,4.068,4.741,4.574,9,839.68,14.31,275.4675,0.001,NA,NA,NA,NA
NLA17_CO-10011,1,0.834,0.8,2.012,0.043,27.9,0.0465,7.45,1.84,0.155,0.78,0.005,0.204,0.738,0.408,0,245.11,3.527,6.07375,0.004,NA,NA,NA,NA
NLA17_SC-10016,1,0.771,4.08,4.488,3.03,23.2,0.0376,6.73,8.11,0.286,12.72,0.017,0.691,0.488,1.832,14,77.63,0.963,31.84,0.003,NA,NA,NA,NA
NLA17_SC-10004,1,0.634,4.42,3.754,2.788,21.2,0.0869,6.52,8.83,0.324,3.81,0.032,0.372,0.326,1.99,26,62.73,0.771,20.75125,0.002,NA,NA,NA,NA
NLA17_CO-10007,1,16.24,6.73,2.626,12.577,500.1,0,8.23,4.72,0.456,1.6,0.014,2.106,122.607,28.658,3,1967.74,43.826,14.06375,0,NA,NA,NA,NA
NLA17_CO-10020,1,2.508,0.93,8.049,0.065,64.1,0,8,5.08,0.148,0.96,0.011,0.23,0.2,0.955,0,645.67,7.816,30.96625,0,NA,NA,NA,NA
NLA17_CO-10043,1,0.307,1.17,0.808,0.063,11.9,0,7.04,1.79,0.143,0.51,0.006,0.223,0.056,0.288,0,106.76,1.354,7.43625,0,NA,NA,NA,NA
NLA17_MA-10004,1,0.51,6.55,3.317,9.327,50.9,2e-4,6.68,8.27,0.308,1.45,0.009,0.318,2.085,6.379,62,71.5,2.015,20.20875,0,NA,NA,NA,NA
NLA17_MA-10022,1,0.195,4.79,0.27,0.695,11.8,1e-4,6.31,2.78,0.428,0.64,0.016,0.098,1.364,0.826,30,37.74,0.818,12.25125,0,NA,NA,NA,NA
NLA17_MT-10008,1,11.26,1.33,3.014,0.632,207.3,0,8.42,1.46,0.121,1.31,0.005,0.308,3.375,1.152,7,1839.46,22.335,11.8875,0,NA,NA,NA,NA
NLA17_NE-10029,1,3.965,1.85,48.409,1.262,212.5,0.0019,8.44,10.61,0.723,15.1,0.017,7.342,7.185,7.836,3,1881.15,26.449,42.47125,0,NA,NA,NA,NA
NLA17_CO-10050,1,16.519,5.34,1.515,94.4,743.1,0,8.31,5.5,0.696,1.15,0.011,4.06,95.362,70.763,5,1810.87,43.737,22.1475,0,NA,NA,NA,NA
